Cluster_Name,Gap_1980,Gap_2014,Change,N_Countries
Lean Hypertension / Low-Obesity Rising-BP,2.081487719483212,7.572801923835403,5.491314204352191,64
Moderate Transition,6.826342265348744,11.30840413368031,4.4820618683315665,43
Wealthy Decouplers,3.8758688201081446,1.658559517217465,-2.21730930289068,41
High-Starting-BP Recovery,9.684612149589954,7.225485049136532,-2.459127100453422,39
Pacific Extreme Outliers,13.403643661376217,9.957915445860106,-3.4457282155161106,13
