Year,BP_CV,Is_Extrapolated,Metric,Obesity_CV,Diabetes_CV
2012,,False,Diabetes,,0.5076140323105828
2013,,False,Diabetes,,0.5073350107613118
2014,,False,Diabetes,,0.5070107380514111
2015,,True,Diabetes,,0.5110370614373372
2016,,True,Diabetes,,0.5109238084488213
2017,,True,Diabetes,,0.5108105554603055
2018,,True,Diabetes,,0.5106973024717897
2019,,True,Diabetes,,0.5105840494832738
2020,,True,Diabetes,,0.510470796494758
2021,,True,Diabetes,,0.5103575435062422
2022,,True,Diabetes,,0.5102442905177262
2023,,True,Diabetes,,0.5101310375292104
2024,,True,Diabetes,,0.5100177845406946
