k,inertia,silhouette_score
2,1756.3448804977909,0.4737312051288407
3,1315.0254561816748,0.2677037538213562
4,1110.5829681002663,0.2716644101996393
5,993.0733355045481,0.26112814623724695
6,907.0384585178946,0.2543700211129126
7,804.7596315189768,0.2719404022998562
8,740.6763584443023,0.2766745419393204
