Year,BP_Mean,BP_StdDev,BP_CV,Obesity_Mean,Obesity_StdDev,Obesity_CV,Diabetes_Mean,Diabetes_StdDev,Diabetes_CV
1980,30.063650594828253,6.033040665001889,0.20067558482201533,8.383466082305477,7.699665550127109,0.9184346276987237,5.29564318541,2.6720737238960415,0.5045796384578664
1981,29.98576037982481,5.8996103774761615,0.19674706603223477,8.651172445543164,7.848678643683415,0.9072387232006719,5.389986915947017,2.731265196846296,0.5067294669613154
1982,29.899265684452757,5.766173257667656,0.19285334022989045,8.924840037606911,7.999744807352755,0.8963460155749515,5.489260479254247,2.7928790099891803,0.5087896667582829
1983,29.80588269682788,5.63439696296559,0.1890364066810622,9.204758521216764,8.152819936203231,0.8857179596195992,5.5935469518505485,2.8559098844594937,0.5105722556802093
1984,29.705525878663153,5.503379698513276,0.18526451007777772,9.49114162067628,8.307951530738428,0.875337431762656,5.704217979560589,2.9214130053968015,0.5121496085641954
1985,29.600194589375914,5.37383323201538,0.18154722651533356,9.784095650515166,8.464974700668497,0.8651770181971583,5.820135448750834,2.9888115130019033,0.5135295457158796
1986,29.486835065195848,5.243422518968625,0.17782249289811325,10.081851460831551,8.621222589761764,0.8551229526893551,5.940624469705287,3.0577216803270235,0.514713848000346
1987,29.368053511164927,5.113338321711562,0.1741122652125246,10.384831290715594,8.776658926613134,0.8451421771733333,6.065422871320582,3.1267663558572725,0.5155067374843237
1988,29.24221407878374,4.985449855454706,0.17048811153707497,10.693073458515642,8.930743686611521,0.8351895945781,6.194499125377816,3.1962597249928004,0.515983562238029
1989,29.109317325004817,4.860091602942359,0.16695999939399317,11.006796577304984,9.083696687417264,0.8252806912182807,6.32729100885206,3.2674931598616204,0.5164126567420882
1990,28.969337999279656,4.737170999430612,0.16352361933670714,11.326322168872307,9.23535689590433,0.8153888577605097,6.464092879503665,3.3413147797903693,0.5169038938758143
1991,28.817656239908565,4.612967989271714,0.16007436381600582,11.647282398562146,9.384202317811253,0.8056988743545646,6.600341101679003,3.413939290307014,0.5172367969647163
1992,28.657955943922442,4.492736301572965,0.15677099617168438,11.969917755934285,9.530325997530719,0.7961897643620736,6.736242724210928,3.487219969036588,0.5176802724912314
1993,28.49008379812265,4.377936141564362,0.15366526025637192,12.294703054798758,9.673773897463782,0.7868245255169463,6.872601666672209,3.5612377865085625,0.5181789894470857
1994,28.313996455888184,4.270732851392348,0.15083468905726327,12.622470102622733,9.815043346377207,0.7775849945834143,7.01001491926034,3.635979499339004,0.5186835607651822
1995,28.133124892156587,4.171154842361953,0.1482648962158077,12.953833476135525,9.954405191464893,0.7684524592510478,7.149674002099252,3.709820096827308,0.5188796154535226
1996,27.94582894743461,4.079208587854491,0.14596842324940076,13.288592940481758,10.092204535561674,0.7594637431339512,7.291422140200508,3.7816920155212483,0.5186494407821044
